company_name,rating,designation,type,location,benefits,jobs_count,interviews_count,salary,reviews_count
Atlassian,3.1,Data Scientist,Software Product,Bangalore,4.0,63.0,95.0,3800.0,163.0
ABCD,4.0,Data Scientist,Education & Training,Bangalore,12.0,0.0,96.0,4900.0,226.0
Facebook,4.4,Data Scientist,Internet,Bangalore,22.0,0.0,55.0,1200.0,168.0
Coursera,3.4,Data Scientist,EdTech,Gurgaon,1.0,15.0,10.0,371.0,42.0
UBS,3.8,Data Scientist,Financial Services,Pune,117.0,1.0,369.0,31300.0,3400.0
"Commonwealth Bank of Australia, India",2.9,Data Scientist,Financial Services,Bangalore,48.0,4.0,109.0,7400.0,854.0
Franklin Templeton Investments,3.9,Data Scientist,Financial Services,Hyderabad,70.0,50.0,32.0,4000.0,779.0
Fidelity Investments,4.1,Data Scientist,Financial Services,Bangalore,160.0,1.0,121.0,8000.0,1200.0
Manhattan Associates,3.5,Data Scientist,IT Services & Consulting,Bangalore,40.0,9.0,42.0,3500.0,390.0
ShareChat,3.6,Data Scientist,Internet,Bangalore,43.0,0.0,86.0,2500.0,608.0
Expedia Group,3.7,Data Scientist,Internet,Gurgaon,27.0,13.0,85.0,3300.0,364.0
Games24x7,3.7,Data Scientist,Gaming,Bangalore,13.0,10.0,25.0,1700.0,218.0
Visa,3.3,Data Scientist,FinTech,Bangalore,39.0,49.0,156.0,6200.0,463.0
Walmart,3.5,Data Scientist,Retail,Bangalore,319.0,142.0,434.0,22000.0,3100.0
Meesho,3.7,Data Scientist,Internet,Bangalore,297.0,94.0,418.0,9200.0,2100.0
Money View,4.1,Data Scientist,FinTech,Bangalore,6.0,0.0,35.0,1500.0,296.0
Uber,4.2,Data Scientist,Internet,Hyderabad,102.0,48.0,166.0,8000.0,1000.0
PayPal,3.8,Data Scientist,FinTech,Bangalore,120.0,0.0,234.0,9300.0,1100.0
Salesforce,3.9,Data Scientist,Software Product,Hyderabad,104.0,153.0,243.0,12500.0,1100.0
Go-Jek,3.7,Data Scientist,Financial Services,Bangalore,8.0,25.0,31.0,1200.0,117.0
Novartis Healthcare,4.1,Data Scientist,Pharma,Hyderabad,45.0,6.0,22.0,3100.0,408.0
Rakuten,3.5,Data Scientist,IT Services & Consulting,Bangalore,47.0,16.0,95.0,5200.0,495.0
McKinsey & Company,3.8,Data Scientist,Management Consulting,Gurgaon,63.0,4.0,246.0,8300.0,705.0
Target,4.1,Data Scientist,Retail,Bangalore,86.0,104.0,135.0,6500.0,871.0
Flipkart,3.9,Data Scientist,Internet,Bangalore,1400.0,164.0,1600.0,54100.0,12600.0
Cisco,4.1,Data Scientist,Hardware & Networking,Bangalore,223.0,146.0,402.0,18700.0,2100.0
Microsoft Corporation,3.7,Data Scientist,Software Product,Bangalore,196.0,0.0,604.0,28600.0,2100.0
Amazon Development Centre India,3.8,Data Scientist,Internet,Hyderabad,20.0,6.0,867.0,38200.0,7400.0
Philips Innovation Campus,3.7,Data Scientist,Software Product,Bangalore,46.0,0.0,55.0,4400.0,623.0
PhonePe,4.1,Data Scientist,FinTech,Bangalore,183.0,24.0,402.0,12700.0,3400.0
ExxonMobil,3.8,Data Scientist,Oil & Gas,Bangalore,57.0,386.0,80.0,3800.0,521.0
John Deere,4.0,Data Scientist,Industrial Machinery,Pune,417.0,1.0,264.0,15200.0,4000.0
Info Edge,3.9,Data Scientist,Internet,Noida,299.0,294.0,373.0,10900.0,2300.0
Google,4.4,Data Scientist,Software Product,Bangalore,132.0,600.0,993.0,30800.0,1900.0
Gartner,3.8,Data Scientist,Management Consulting,Gurgaon,23.0,36.0,95.0,6300.0,684.0
Shell,3.9,Data Scientist,Oil & Gas,Bangalore,257.0,2.0,228.0,13700.0,2700.0
bp,3.8,Data Scientist,Oil & Gas,Pune,22.0,8.0,81.0,3700.0,602.0
Hewlett Packard Enterprise,4.1,Data Scientist,IT Services & Consulting,Bangalore,546.0,174.0,266.0,27200.0,4500.0
Optum Global Solutions,4.0,Data Scientist,IT Services & Consulting,Hyderabad,686.0,60.0,746.0,48400.0,7700.0
